NUM_THREADS,MIN_VAL,MAX_VAL,AVERAGE_VAL,MIN_TIME,MAX_TIME,AVERAGE_TIME
1,1.9999999999990097,1.9999999999990097,1.9999999999990092,22.63615,22.71655,22.667635
2,2.000000003206474,2.000000003206474,2.0000000032064738,11.81354,12.04253,11.864985999999998
3,2.0000000152503317,2.0000000152503317,2.000000015250332,8.7909,9.8648,9.506274
4,2.000000015941429,2.000000015941429,2.0000000159414286,7.53981,7.72187,7.598731000000001
5,2.0000000285685355,2.0000000285685355,2.0000000285685355,7.50298,7.87205,7.6394280000000006
6,2.0000000164286234,2.0000000164286234,2.000000016428623,7.29599,7.61961,7.426807000000001
7,2.0000000415670263,2.0000000415670263,2.0000000415670267,7.25627,7.52623,7.361805000000001
8,2.0000000417342982,2.0000000417342982,2.0000000417342987,7.28432,7.84958,7.517698
