NUM_THREADS,MIN_VAL,MAX_VAL,AVERAGE_VAL,MIN_TIME,MAX_TIME,AVERAGE_TIME
1,1.9999999999990097,1.9999999999990097,1.9999999999990092,22.6483,22.74878,22.686887000000002
2,2.000000003206474,2.000000003206474,2.0000000032064738,11.82638,12.03753,11.871498999999998
3,2.0000000152503317,2.0000000152503317,2.000000015250332,8.8149,9.59015,8.979035
4,2.000000015941429,2.000000015941429,2.0000000159414286,7.54092,7.69633,7.610709
5,2.0000000285685355,2.0000000285685355,2.0000000285685355,7.08453,7.68344,7.462929
6,2.0000000164286234,2.0000000164286234,2.000000016428623,6.94076,7.44996,7.184908
7,2.0000000415670263,2.0000000415670263,2.0000000415670267,7.04581,7.38733,7.149879
8,2.0000000417342982,2.0000000417342982,2.0000000417342987,7.03864,7.34965,7.118075
