NUM_THREADS,MIN_VAL,MAX_VAL,AVERAGE_VAL,MIN_TIME,MAX_TIME,AVERAGE_TIME
1,1.9999999999990097,1.9999999999990097,1.9999999999990092,22.66185,22.73715,22.699072
2,2.000000003206474,2.000000003206474,2.0000000032064738,11.81664,11.95006,11.856366000000003
3,2.0000000152503317,2.0000000152503317,2.000000015250332,9.48274,9.58441,9.516972999999998
4,2.000000015941429,2.000000015941429,2.0000000159414286,7.48657,7.81136,7.5448119999999985
5,2.0000000285685355,2.0000000285685355,2.0000000285685355,7.04922,7.73948,7.419565999999999
6,2.0000000164286234,2.0000000164286234,2.000000016428623,7.09586,7.44173,7.264279
7,2.0000000415670263,2.0000000415670263,2.0000000415670267,6.96519,7.587,7.204687
8,2.0000000417342982,2.0000000417342982,2.0000000417342987,7.00245,7.29407,7.129125999999999
